node_type_id model_type morphology dynamics_params rotation_angle_zaxis population pop_name location ei model_processing model_template
330080937 biophysical Pvalb-IRES-Cre_Ai14-176847.04.02.01_491120133_m.swc 330080937_fit.json -2.539551891 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
333604946 biophysical Pvalb-IRES-Cre_Ai14-176848.03.01.01_491119484_m.swc 333604946_fit.json -3.975017803 v1 i4Pvalb VisL4 i aibs_perisomatic ctdb:Biophys1.hoc
333785962 biophysical Pvalb-IRES-Cre_Ai14-176852.05.02.01_513557613_m.swc 333785962_fit.json -2.336541883 v1 i5Pvalb VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
341442651 biophysical Pvalb-IRES-Cre_Ai14-178310.02.01.01_513557093_m.swc 341442651_fit.json -3.9368399210000002 v1 i23Pvalb VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
348592897 biophysical Scnn1a-Tg2-Cre_Ai14-176958.04.01.01_491771013_m.swc 348592897_fit.json -2.785802781 v1 e4Scnn1a VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
349621141 biophysical Scnn1a-Tg2-Cre_Ai14-176961.06.02.01_491253847_m.swc 349621141_fit.json -3.3448446069999997 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
354190013 biophysical Scnn1a-Tg2-Cre_Ai14-176962.05.01.01_495335447_m.swc 354190013_fit.json 0.954951529 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
370351753 biophysical Nr5a1-Cre_Ai14-177332.03.01.01_491120166_m.swc 370351753_fit.json -2.683890192 v1 e4Nr5a1 VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
382982932 biophysical Nr5a1-Cre_Ai14-177333.03.01.01_491771090_m.swc 382982932_fit.json -2.8258924189999997 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
386049446 biophysical Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc 386049446_fit.json -2.922590608 v1 e4Nr5a1 VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
